userId,fieldId,fieldName,fieldVaule
17dafc5fd0b385dae22fe25c6a459f03a09e20a88407a33d5584ea2fdcc2bd01,1,STORAGE,0
17dafc5fd0b385dae22fe25c6a459f03a09e20a88407a33d5584ea2fdcc2bd01,2,LOCATION,0
17dafc5fd0b385dae22fe25c6a459f03a09e20a88407a33d5584ea2fdcc2bd01,3,CALL_LOG,0
17dafc5fd0b385dae22fe25c6a459f03a09e20a88407a33d5584ea2fdcc2bd01,4,APP_USAGE,0
17dafc5fd0b385dae22fe25c6a459f03a09e20a88407a33d5584ea2fdcc2bd01,5,NOTIFICATION,0
17dafc5fd0b385dae22fe25c6a459f03a09e20a88407a33d5584ea2fdcc2bd01,6,general,0
17dafc5fd0b385dae22fe25c6a459f03a09e20a88407a33d5584ea2fdcc2bd01,7,gender,
17dafc5fd0b385dae22fe25c6a459f03a09e20a88407a33d5584ea2fdcc2bd01,8,age,
17dafc5fd0b385dae22fe25c6a459f03a09e20a88407a33d5584ea2fdcc2bd01,9,education,
17dafc5fd0b385dae22fe25c6a459f03a09e20a88407a33d5584ea2fdcc2bd01,10,bfi2,0
c62e1037772a48a0629c0895db6989162c798afd65bc65246fd1f52247c774ae,1,STORAGE,0
c62e1037772a48a0629c0895db6989162c798afd65bc65246fd1f52247c774ae,2,LOCATION,0
c62e1037772a48a0629c0895db6989162c798afd65bc65246fd1f52247c774ae,3,CALL_LOG,0
c62e1037772a48a0629c0895db6989162c798afd65bc65246fd1f52247c774ae,4,APP_USAGE,0
c62e1037772a48a0629c0895db6989162c798afd65bc65246fd1f52247c774ae,5,NOTIFICATION,0
c62e1037772a48a0629c0895db6989162c798afd65bc65246fd1f52247c774ae,6,general,0
c62e1037772a48a0629c0895db6989162c798afd65bc65246fd1f52247c774ae,7,gender,
c62e1037772a48a0629c0895db6989162c798afd65bc65246fd1f52247c774ae,8,age,
c62e1037772a48a0629c0895db6989162c798afd65bc65246fd1f52247c774ae,9,education,
c62e1037772a48a0629c0895db6989162c798afd65bc65246fd1f52247c774ae,10,bfi2,0
4856b82ece0f52f152d50a2e64649002a676b5fe823d073966b66904c3b6e755,1,STORAGE,0
4856b82ece0f52f152d50a2e64649002a676b5fe823d073966b66904c3b6e755,2,LOCATION,0
4856b82ece0f52f152d50a2e64649002a676b5fe823d073966b66904c3b6e755,3,CALL_LOG,0
4856b82ece0f52f152d50a2e64649002a676b5fe823d073966b66904c3b6e755,4,APP_USAGE,0
4856b82ece0f52f152d50a2e64649002a676b5fe823d073966b66904c3b6e755,5,NOTIFICATION,0
4856b82ece0f52f152d50a2e64649002a676b5fe823d073966b66904c3b6e755,6,general,1
4856b82ece0f52f152d50a2e64649002a676b5fe823d073966b66904c3b6e755,7,gender,1
4856b82ece0f52f152d50a2e64649002a676b5fe823d073966b66904c3b6e755,8,age,27
4856b82ece0f52f152d50a2e64649002a676b5fe823d073966b66904c3b6e755,9,education,5
4856b82ece0f52f152d50a2e64649002a676b5fe823d073966b66904c3b6e755,10,bfi2,1
9fb66ac12bed7293ca38c1d98c9e1c80cff173c7746d5d6552b916c22c3c87c0,1,STORAGE,0
9fb66ac12bed7293ca38c1d98c9e1c80cff173c7746d5d6552b916c22c3c87c0,2,LOCATION,0
9fb66ac12bed7293ca38c1d98c9e1c80cff173c7746d5d6552b916c22c3c87c0,3,CALL_LOG,0
9fb66ac12bed7293ca38c1d98c9e1c80cff173c7746d5d6552b916c22c3c87c0,4,APP_USAGE,0
9fb66ac12bed7293ca38c1d98c9e1c80cff173c7746d5d6552b916c22c3c87c0,5,NOTIFICATION,0
9fb66ac12bed7293ca38c1d98c9e1c80cff173c7746d5d6552b916c22c3c87c0,6,general,1
9fb66ac12bed7293ca38c1d98c9e1c80cff173c7746d5d6552b916c22c3c87c0,7,gender,1
9fb66ac12bed7293ca38c1d98c9e1c80cff173c7746d5d6552b916c22c3c87c0,8,age,46
9fb66ac12bed7293ca38c1d98c9e1c80cff173c7746d5d6552b916c22c3c87c0,9,education,3
9fb66ac12bed7293ca38c1d98c9e1c80cff173c7746d5d6552b916c22c3c87c0,10,bfi2,1
64530749c1c39829553d1979a99980506632ca0fe934da246f2c89648af933b7,1,STORAGE,0
64530749c1c39829553d1979a99980506632ca0fe934da246f2c89648af933b7,2,LOCATION,0
64530749c1c39829553d1979a99980506632ca0fe934da246f2c89648af933b7,3,CALL_LOG,0
64530749c1c39829553d1979a99980506632ca0fe934da246f2c89648af933b7,4,APP_USAGE,0
64530749c1c39829553d1979a99980506632ca0fe934da246f2c89648af933b7,5,NOTIFICATION,0
64530749c1c39829553d1979a99980506632ca0fe934da246f2c89648af933b7,6,general,0
64530749c1c39829553d1979a99980506632ca0fe934da246f2c89648af933b7,7,gender,
64530749c1c39829553d1979a99980506632ca0fe934da246f2c89648af933b7,8,age,
64530749c1c39829553d1979a99980506632ca0fe934da246f2c89648af933b7,9,education,
64530749c1c39829553d1979a99980506632ca0fe934da246f2c89648af933b7,10,bfi2,0
cfa04b918407ecff1409dda848552b13e62898877accc31e6b4802e4f85d2ea7,1,STORAGE,0
cfa04b918407ecff1409dda848552b13e62898877accc31e6b4802e4f85d2ea7,2,LOCATION,0
cfa04b918407ecff1409dda848552b13e62898877accc31e6b4802e4f85d2ea7,3,CALL_LOG,0
cfa04b918407ecff1409dda848552b13e62898877accc31e6b4802e4f85d2ea7,4,APP_USAGE,0
cfa04b918407ecff1409dda848552b13e62898877accc31e6b4802e4f85d2ea7,5,NOTIFICATION,0
cfa04b918407ecff1409dda848552b13e62898877accc31e6b4802e4f85d2ea7,6,general,1
cfa04b918407ecff1409dda848552b13e62898877accc31e6b4802e4f85d2ea7,7,gender,1
cfa04b918407ecff1409dda848552b13e62898877accc31e6b4802e4f85d2ea7,8,age,41
cfa04b918407ecff1409dda848552b13e62898877accc31e6b4802e4f85d2ea7,9,education,4
cfa04b918407ecff1409dda848552b13e62898877accc31e6b4802e4f85d2ea7,10,bfi2,1
4b43f10dc17f523b45485ea12ab3ef486b0c045395bf8cbe5062d803605020c6,1,STORAGE,0
4b43f10dc17f523b45485ea12ab3ef486b0c045395bf8cbe5062d803605020c6,2,LOCATION,0
4b43f10dc17f523b45485ea12ab3ef486b0c045395bf8cbe5062d803605020c6,3,CALL_LOG,0
