userId,fieldId,fieldName,fieldVaule
75bdbb4550d0a295749ff57e3bf9455bbb3806362950cd321f9e253cdbe7622f,2,LOCATION,1
75bdbb4550d0a295749ff57e3bf9455bbb3806362950cd321f9e253cdbe7622f,3,CALL_LOG,1
75bdbb4550d0a295749ff57e3bf9455bbb3806362950cd321f9e253cdbe7622f,4,APP_USAGE,1
75bdbb4550d0a295749ff57e3bf9455bbb3806362950cd321f9e253cdbe7622f,5,NOTIFICATION,1
75bdbb4550d0a295749ff57e3bf9455bbb3806362950cd321f9e253cdbe7622f,6,general,0
75bdbb4550d0a295749ff57e3bf9455bbb3806362950cd321f9e253cdbe7622f,7,gender,
75bdbb4550d0a295749ff57e3bf9455bbb3806362950cd321f9e253cdbe7622f,8,age,
75bdbb4550d0a295749ff57e3bf9455bbb3806362950cd321f9e253cdbe7622f,9,education,
75bdbb4550d0a295749ff57e3bf9455bbb3806362950cd321f9e253cdbe7622f,10,bfi2,0
25616e7b49f0df1dd3702fb70be5ce68df1e4566d993d6368e2ce2d036b6ae5c,1,STORAGE,1
25616e7b49f0df1dd3702fb70be5ce68df1e4566d993d6368e2ce2d036b6ae5c,2,LOCATION,1
25616e7b49f0df1dd3702fb70be5ce68df1e4566d993d6368e2ce2d036b6ae5c,3,CALL_LOG,1
25616e7b49f0df1dd3702fb70be5ce68df1e4566d993d6368e2ce2d036b6ae5c,4,APP_USAGE,1
25616e7b49f0df1dd3702fb70be5ce68df1e4566d993d6368e2ce2d036b6ae5c,5,NOTIFICATION,1
25616e7b49f0df1dd3702fb70be5ce68df1e4566d993d6368e2ce2d036b6ae5c,6,general,1
25616e7b49f0df1dd3702fb70be5ce68df1e4566d993d6368e2ce2d036b6ae5c,7,gender,1
25616e7b49f0df1dd3702fb70be5ce68df1e4566d993d6368e2ce2d036b6ae5c,8,age,21
25616e7b49f0df1dd3702fb70be5ce68df1e4566d993d6368e2ce2d036b6ae5c,9,education,3
25616e7b49f0df1dd3702fb70be5ce68df1e4566d993d6368e2ce2d036b6ae5c,10,bfi2,1
b758510e0afaa8b09cdb1e771fce745b4ac028d4c387725b832f63821919fb84,1,STORAGE,0
